Date;DeathCovid;DeathWithCovid;Total
3.10.20;55;20;75
7.10.20;57;25;82
12.10.20;61;25;86
13.10.20;66;25;91
14.10.20;71;25;96
16.10.20;82;35;117
17.10.20;88;35;123
18.10.20;92;37;129
20.10.20;98;42;140
21.10.20;115;52;167
22.10.20;134;61;195
24.10.20;159;65;224
25.10.20;165;65;230
26.10.20;176;68;244
27.10.20;184;78;262
28.10.20;200;82;282
29.10.20;212;86;298
30.10.20;219;86;305
2.11.20;235;90;325
3.11.20;261;97;358
4.11.20;286;112;398
5.11.20;317;121;438
6.11.20;351;127;478
8.11.20;366;129;495
9.11.20;390;144;534
10.11.20;414;155;569
11.11.20;464;164;628
12.11.20;491;164;655
13.11.20;510;167;677
15.11.20;526;167;693
16.11.20;557;171;728
17.11.20;579;176;755
18.11.20;614;183;797
19.11.20;644;185;829
20.11.20;671;188;859
22.11.20;709;194;903
23.11.20;732;196;928
25.11.20;749;196;945
26.11.20;771;198;969
27.11.20;798;205;1003
28.11.20;816;208;1024
29.11.20;839;212;1051
30.11.20;868;219;1087
1.12.20;898;220;1118
2.12.20;930;240;1170
3.12.20;957;251;1208
4.12.20;981;253;1234
5.12.20;996;253;1249
6.12.20;1018;256;1274
7.12.20;1046;270;1316
8.12.20;1084;274;1358
9.12.20;1104;280;1384
10.12.20;1122;290;1412
11.12.20;1148;293;1441
12.12.20;1175;303;1478
13.12.20;1205;313;1518
14.12.20;1251;334;1585
15.12.20;1309;350;1659
16.12.20;1378;365;1743
17.12.20;1440;379;1819
18.12.20;1510;387;1897
19.12.20;1555;394;1949
20.12.20;1618;397;2015
21.12.20;1655;412;2067
22.12.20;1686;420;2106
23.12.20;1732;429;2161
26.12.20;1773;458;2231
27.12.20;1879;498;2377
28.12.20;1983;501;2484
29.12.20;2065;507;2572
30.12.20;2138;531;2669
31.12.20;2250;569;2819
2.1.21;2317;591;2908
3.1.21;2521;610;3131
4.1.21;2603;622;3225
5.1.21;2657;627;3284
6.1.21;2717;632;3349
7.1.21;2788;638;3426
8.1.21;2836;644;3480
9.1.21;2918;654;3572
10.1.21;3007;663;3670
11.1.21;3102;668;3770
12.1.21;3163;676;3839
13.1.21;3260;686;3946
14.1.21;3362;702;4064
15.1.21;3417;706;4123
16.1.21;3474;731;4205
17.1.21;3526;752;4278
18.1.21;3637;779;4416
19.1.21;3737;786;4523
20.1.21;3801;812;4613
21.1.21;3894;828;4722
22.1.21;3965;851;4816
23.1.21;4068;877;4945
24.1.21;4145;892;5037
25.1.21;4260;904;5164
26.1.21;4361;927;5288
27.1.21;4411;946;5357
28.1.21;4495;973;5468
29.1.21;4565;996;5561
30.1.21;4642;1032;5674
31.1.21;4711;1044;5755
1.2.21;4784;1075;5859
2.2.21;4889;1082;5971
3.2.21;4976;1087;6063
4.2.21;5050;1089;6139
5.2.21;5135;1116;6251
6.2.21;5199;1147;6346
7.2.21;5271;1152;6423
8.2.21;5382;1189;6571
9.2.21;5502;1205;6707
10.2.21;5629;1213;6842
11.2.21;5733;1221;6954
12.2.21;5812;1224;7036
13.2.21;5885;1239;7124
14.2.21;5952;1249;7201
15.2.21;6063;1266;7329
16.2.21;6168;1273;7441
17.2.21;6271;1288;7559
18.2.21;6350;1292;7642
19.2.21;6424;1301;7725
20.2.21;6505;1313;7818
21.2.21;6577;1334;7911
22.2.21;6671;1343;8014
23.2.21;6775;1360;8135
24.2.21;6859;1370;8229
25.2.21;6966;1386;8352
26.2.21;7075;1420;8495
